Descritpion_ID,Top_20_Image_IDs
33.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
34.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
35.txt,1031.jpg 305.jpg 1088.jpg 1500.jpg 472.jpg 68.jpg 1919.jpg 167.jpg 1553.jpg 476.jpg 1850.jpg 496.jpg 1661.jpg 52.jpg 1700.jpg 249.jpg 153.jpg 1119.jpg 358.jpg 1594.jpg
36.txt,674.jpg 1281.jpg 176.jpg 312.jpg 991.jpg 211.jpg 395.jpg 1822.jpg 1619.jpg 635.jpg 1066.jpg 1163.jpg 1527.jpg 216.jpg 988.jpg 1384.jpg 1181.jpg 132.jpg 1942.jpg 342.jpg
37.txt,1611.jpg 1389.jpg 1525.jpg 1896.jpg 1336.jpg 1644.jpg 696.jpg 765.jpg 1197.jpg 1847.jpg 24.jpg 1523.jpg 1013.jpg 1242.jpg 1365.jpg 377.jpg 823.jpg 844.jpg 1656.jpg 982.jpg
38.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
39.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
40.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
41.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
42.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
43.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
44.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
45.txt,1031.jpg 1088.jpg 1661.jpg 68.jpg 785.jpg 472.jpg 167.jpg 305.jpg 1338.jpg 94.jpg 60.jpg 1119.jpg 325.jpg 1618.jpg 1570.jpg 1500.jpg 358.jpg 249.jpg 1594.jpg 1790.jpg
46.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
47.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
48.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
49.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
50.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
51.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
52.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
53.txt,1643.jpg 76.jpg 1636.jpg 1120.jpg 1812.jpg 201.jpg 1076.jpg 1753.jpg 529.jpg 592.jpg 368.jpg 1645.jpg 1375.jpg 587.jpg 1172.jpg 80.jpg 1916.jpg 1147.jpg 198.jpg 1199.jpg
54.txt,68.jpg 912.jpg 991.jpg 849.jpg 633.jpg 785.jpg 216.jpg 1088.jpg 325.jpg 46.jpg 167.jpg 1402.jpg 1031.jpg 1570.jpg 629.jpg 305.jpg 1231.jpg 1243.jpg 1618.jpg 1661.jpg
55.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
56.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
57.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
58.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
59.txt,912.jpg 216.jpg 68.jpg 988.jpg 1384.jpg 991.jpg 1163.jpg 674.jpg 312.jpg 352.jpg 849.jpg 473.jpg 46.jpg 1243.jpg 1619.jpg 132.jpg 1182.jpg 1161.jpg 633.jpg 395.jpg
60.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
61.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
62.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
63.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
64.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
65.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
66.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
67.txt,1031.jpg 305.jpg 1088.jpg 1500.jpg 472.jpg 68.jpg 1919.jpg 167.jpg 1553.jpg 476.jpg 1850.jpg 496.jpg 1661.jpg 52.jpg 1700.jpg 249.jpg 153.jpg 1119.jpg 358.jpg 1594.jpg
68.txt,1031.jpg 1088.jpg 1661.jpg 68.jpg 785.jpg 472.jpg 167.jpg 305.jpg 1338.jpg 94.jpg 60.jpg 1119.jpg 325.jpg 1618.jpg 1570.jpg 1500.jpg 358.jpg 249.jpg 1594.jpg 1790.jpg
69.txt,635.jpg 211.jpg 1891.jpg 875.jpg 1138.jpg 839.jpg 851.jpg 1081.jpg 1988.jpg 1017.jpg 801.jpg 201.jpg 1021.jpg 1435.jpg 1527.jpg 590.jpg 674.jpg 65.jpg 326.jpg 76.jpg
70.txt,68.jpg 912.jpg 991.jpg 849.jpg 633.jpg 785.jpg 216.jpg 1088.jpg 325.jpg 46.jpg 167.jpg 1402.jpg 1031.jpg 1570.jpg 629.jpg 305.jpg 1231.jpg 1243.jpg 1618.jpg 1661.jpg
71.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
72.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
73.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
74.txt,68.jpg 912.jpg 991.jpg 849.jpg 633.jpg 785.jpg 216.jpg 1088.jpg 325.jpg 46.jpg 167.jpg 1402.jpg 1031.jpg 1570.jpg 629.jpg 305.jpg 1231.jpg 1243.jpg 1618.jpg 1661.jpg
75.txt,912.jpg 216.jpg 68.jpg 988.jpg 1384.jpg 991.jpg 1163.jpg 674.jpg 312.jpg 352.jpg 849.jpg 473.jpg 46.jpg 1243.jpg 1619.jpg 132.jpg 1182.jpg 1161.jpg 633.jpg 395.jpg
76.txt,1031.jpg 1088.jpg 1661.jpg 68.jpg 785.jpg 472.jpg 167.jpg 305.jpg 1338.jpg 94.jpg 60.jpg 1119.jpg 325.jpg 1618.jpg 1570.jpg 1500.jpg 358.jpg 249.jpg 1594.jpg 1790.jpg
77.txt,950.jpg 1803.jpg 633.jpg 224.jpg 828.jpg 916.jpg 726.jpg 1822.jpg 510.jpg 893.jpg 973.jpg 25.jpg 1679.jpg 1526.jpg 1219.jpg 1174.jpg 1330.jpg 294.jpg 1066.jpg 657.jpg
78.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
79.txt,68.jpg 912.jpg 991.jpg 849.jpg 633.jpg 785.jpg 216.jpg 1088.jpg 325.jpg 46.jpg 167.jpg 1402.jpg 1031.jpg 1570.jpg 629.jpg 305.jpg 1231.jpg 1243.jpg 1618.jpg 1661.jpg
80.txt,677.jpg 1450.jpg 661.jpg 779.jpg 59.jpg 1279.jpg 1125.jpg 239.jpg 1463.jpg 794.jpg 320.jpg 1157.jpg 944.jpg 1953.jpg 1528.jpg 930.jpg 409.jpg 987.jpg 764.jpg 624.jpg
81.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
82.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
83.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
84.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
85.txt,404.jpg 1946.jpg 664.jpg 241.jpg 1425.jpg 1467.jpg 362.jpg 581.jpg 300.jpg 710.jpg 403.jpg 327.jpg 382.jpg 420.jpg 1604.jpg 982.jpg 1104.jpg 1747.jpg 844.jpg 1834.jpg
86.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
87.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
88.txt,68.jpg 912.jpg 991.jpg 849.jpg 633.jpg 785.jpg 216.jpg 1088.jpg 325.jpg 46.jpg 167.jpg 1402.jpg 1031.jpg 1570.jpg 629.jpg 305.jpg 1231.jpg 1243.jpg 1618.jpg 1661.jpg
89.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
90.txt,68.jpg 912.jpg 849.jpg 785.jpg 991.jpg 633.jpg 1088.jpg 46.jpg 216.jpg 305.jpg 1031.jpg 629.jpg 1570.jpg 325.jpg 352.jpg 167.jpg 1384.jpg 1243.jpg 1231.jpg 1402.jpg
91.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
92.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
93.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
94.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
95.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
96.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
97.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
98.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
99.txt,532.jpg 9.jpg 1241.jpg 1730.jpg 1481.jpg 295.jpg 315.jpg 298.jpg 1683.jpg 299.jpg 850.jpg 815.jpg 1988.jpg 1892.jpg 1278.jpg 1178.jpg 1257.jpg 1586.jpg 1977.jpg 653.jpg
100.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
101.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
102.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
103.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
104.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
